City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
607,Sao Raimundo Nonato,BR,76.15,broken clouds,-9.0153,-42.6994,Real Hotel
610,Buala,SB,84.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
611,Madimba,TZ,78.67,scattered clouds,-10.4,40.3333,
615,Atascocita,US,78.1,broken clouds,29.9988,-95.1766,Best Western Plus Houston Atascocita Inn & Suites
616,Nhulunbuy,AU,79.41,light rain,-12.2333,136.7667,East Arnhem Real Estate
621,Sabang,ID,80.22,overcast clouds,5.8933,95.3214,Hotel Citra
627,Waingapu,ID,82.06,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
631,Necochea,AR,75.69,overcast clouds,-38.5473,-58.7368,Hotel Tres Arroyos
636,Kudahuvadhoo,MV,80.6,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
643,Pochutla,MX,76.19,clear sky,15.7432,-96.4661,Hotel Posada San Jose
647,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
659,Tabou,CI,78.89,few clouds,4.423,-7.3528,hotêl doufoulougou
661,Vaitape,PF,81.64,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
664,Kalianget,ID,80.42,broken clouds,-7.05,113.9333,Pesanggrahan Garam
671,Moron,AR,82.06,scattered clouds,-34.6534,-58.6198,Hotel Morón
677,Gouyave,GD,77.77,light rain,12.1646,-61.7296,Rumboat Retreat
678,Kiunga,PG,84.22,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
680,Hienghene,NC,82.0,heavy intensity rain,-20.6833,164.9333,Ka Waboana Lodge
681,Vao,NC,78.66,light rain,-22.6667,167.4833,Hotel Kou-Bugny
683,Puerto Maldonado,PE,84.6,clear sky,-12.6,-69.1833,Wasai Hotel
687,Touros,BR,79.23,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
691,Novo Oriente,BR,79.95,scattered clouds,-5.5344,-40.7742,Jardins do sertão hotel
693,Oranjestad,AW,75.9,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
694,Trinidad,BO,89.58,few clouds,-14.8333,-64.9,Hotel Piesta
697,Mulchen,CL,80.46,few clouds,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
