City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Matagami,CA,2022-12-19 01:10:50,49.7502,-77.6328,26.71,93,100,6.91
230,Garissa,KE,2022-12-19 01:10:50,-0.4536,39.6401,75.69,78,37,8.59
231,Lorengau,PG,2022-12-19 01:10:51,-2.0226,147.2712,84.79,69,99,1.19
232,Nome,US,2022-12-19 01:10:51,64.5011,-165.4064,17.67,45,0,10.36
233,Atherton,GB,2022-12-19 01:10:25,53.5237,-2.4935,52.29,96,100,3.0
234,Batagay-Alyta,RU,2022-12-19 01:10:52,67.8006,130.4114,-15.97,97,100,2.77
235,Ponta Do Sol,PT,2022-12-19 01:00:05,32.6667,-17.1,70.0,87,100,8.75
236,Chuy,UY,2022-12-19 01:09:13,-33.6971,-53.4616,66.54,72,7,14.47
237,Nyuzen,JP,2022-12-19 01:10:53,36.9333,137.5,35.47,98,100,14.09
238,Myre,NO,2022-12-19 01:10:53,69.1036,15.9492,28.89,65,100,1.74
239,Derzhavinsk,KZ,2022-12-19 01:10:54,51.1,66.3167,17.24,87,87,15.05
240,Antofagasta,CL,2022-12-19 01:10:54,-23.65,-70.4,67.28,78,0,3.2
241,Sao Filipe,CV,2022-12-19 01:10:55,14.8961,-24.4956,75.7,69,18,8.77
242,Tura,IN,2022-12-19 01:10:55,25.5198,90.2201,58.59,81,84,2.64
243,Zhigansk,RU,2022-12-19 01:10:56,66.7697,123.3711,-19.88,91,100,9.48
244,Ponta Delgada,PT,2022-12-19 01:10:56,37.7333,-25.6667,64.51,88,75,20.71
245,Rusape,ZW,2022-12-19 01:10:57,-18.5278,32.1284,64.94,85,100,2.91
246,Kigoma,TZ,2022-12-19 01:10:57,-4.8769,29.6267,72.12,82,100,4.18
247,Hammerfest,NO,2022-12-19 01:10:58,70.6634,23.6821,25.25,74,40,10.36
248,Yar-Sale,RU,2022-12-19 01:10:58,66.8333,70.8333,-5.66,100,98,1.3
249,Dongsheng,CN,2022-12-19 01:10:59,39.8161,109.9776,14.85,38,0,6.29
250,Raudeberg,NO,2022-12-19 01:10:59,61.9875,5.1352,38.07,66,100,12.53
251,Agadez,NE,2022-12-19 01:11:00,19.75,10.25,62.38,27,86,10.92
252,Ribeira Grande,PT,2022-12-19 01:11:00,38.5167,-28.7,59.77,90,41,5.01
253,Ketchikan,US,2022-12-19 01:11:01,55.3422,-131.6461,19.87,32,0,3.44
254,Limbang,MY,2022-12-19 01:11:01,4.75,115.0,80.71,95,100,1.12
255,Longyearbyen,SJ,2022-12-19 01:02:01,78.2186,15.6401,8.44,85,75,8.05
256,Severnyy-Kospashskiy,RU,2022-12-19 01:11:02,59.0925,57.8008,23.61,88,100,4.43
257,Acapulco,MX,2022-12-19 01:08:15,16.8634,-99.8901,80.42,69,0,4.61
258,Aksu,CN,2022-12-19 01:11:03,41.1231,80.2644,17.44,56,0,3.4
259,Gallup,US,2022-12-19 01:11:04,35.5281,-108.7426,32.76,75,100,7.81
260,Teknaf,BD,2022-12-19 01:11:04,20.8624,92.3058,69.13,86,100,4.09
261,Dunedin,NZ,2022-12-19 01:11:05,-45.8742,170.5036,56.8,79,100,1.99
262,Owando,CG,2022-12-19 01:11:05,-0.4819,15.8999,71.04,90,92,2.19
263,Constitucion,CL,2022-12-19 01:11:06,-35.3333,-72.4167,54.99,91,0,10.8
264,Kibaya,TZ,2022-12-19 01:11:07,-5.3,36.5667,59.5,98,48,3.2
265,Artyom,AZ,2022-12-19 01:11:07,40.4723,50.333,50.14,95,4,12.93
266,Nishihara,JP,2022-12-19 01:03:17,26.1842,127.7558,60.08,51,75,13.8
267,Goure,NE,2022-12-19 01:11:08,13.9835,10.2704,66.18,25,100,7.18
268,Lekoni,GA,2022-12-19 01:11:08,-1.5843,14.2591,72.9,85,100,4.45
269,Chitral,PK,2022-12-19 01:11:09,35.8462,71.7858,39.83,51,97,7.4
270,Suffolk,US,2022-12-19 01:07:46,40.8668,-72.7996,37.31,64,0,11.5
271,Westport,US,2022-12-19 01:03:25,41.1415,-73.3579,36.55,65,0,10.36
272,Fortuna,US,2022-12-19 01:11:10,40.5982,-124.1573,45.66,85,0,8.05
