City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
295,Katherine,AU,-14.4667,132.2667,80.92,78,75,11.5,broken clouds
296,Cedar City,US,37.6775,-113.0619,36.57,87,0,4.61,clear sky
297,Siniscola,IT,40.5719,9.6922,44.15,86,0,6.4,clear sky
298,Zdvinsk,RU,54.7021,78.661,26.46,93,100,16.87,light snow
299,Pangnirtung,CA,66.1451,-65.7125,-1.12,87,100,2.86,overcast clouds
300,Bathsheba,BB,13.2167,-59.5167,79.41,89,40,18.41,light intensity shower rain
301,Faanui,PF,-16.4833,-151.75,81.63,64,35,2.39,scattered clouds
302,Jaguey Grande,CU,22.5269,-81.1286,73.38,82,71,11.63,broken clouds
303,Vitim,RU,59.4511,112.5578,7.56,93,100,9.91,overcast clouds
304,Roman,RO,46.9167,26.9167,43.07,84,100,4.88,overcast clouds
305,Geraldton,AU,-28.7667,114.6,66.61,77,0,12.66,clear sky
306,La Ronge,CA,55.1001,-105.2842,21.45,86,20,3.44,mist
307,Riyadh,SA,24.6877,46.7219,50.14,73,60,6.71,broken clouds
308,Pontes E Lacerda,BR,-15.2261,-59.3353,78.55,64,40,2.8,scattered clouds
309,San Cristobal,VE,7.7669,-72.225,71.78,89,66,1.28,broken clouds
310,Hope,US,33.6671,-93.5916,71.65,85,96,5.48,overcast clouds
311,Tara,RU,56.8944,74.371,11.64,84,100,9.62,overcast clouds
312,Kutum,SD,14.2,24.6667,54.57,30,13,5.95,few clouds
313,Solnechnyy,RU,50.7214,136.6319,-7.65,95,98,4.56,overcast clouds
314,Gigmoto,PH,13.7796,124.39,77.04,74,100,15.23,overcast clouds
315,Luanda,AO,-8.8368,13.2343,78.8,83,75,4.61,broken clouds
316,Aligudarz,IR,33.4006,49.6949,22.41,87,15,4.7,few clouds
317,Kahului,US,20.8947,-156.47,82.42,57,0,14.97,clear sky
318,Melo,UY,-32.3667,-54.1833,71.6,64,2,17.31,clear sky
319,Puerto Ayacucho,VE,5.6639,-67.6236,73.94,94,100,3.51,overcast clouds
320,Caiaponia,BR,-16.9567,-51.8103,67.39,99,100,4.81,moderate rain
321,Turangi,NZ,-39.0,175.9333,61.11,97,97,2.35,light rain
322,Vestmannaeyjar,IS,63.4427,-20.2734,32.25,72,95,10.38,overcast clouds
323,Dolores,AR,-36.3132,-57.6792,68.56,76,63,13.42,light rain
324,Saldanha,ZA,-33.0117,17.9442,62.65,86,0,8.79,clear sky
325,Marabba,SD,12.35,32.1833,68.58,32,3,11.9,clear sky
326,Alofi,NU,-19.0595,-169.9187,84.09,79,100,11.5,overcast clouds
327,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.05,98,91,1.48,overcast clouds
328,Udachnyy,RU,66.4167,112.4,-44.55,64,100,4.29,overcast clouds
329,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,20,18.41,few clouds
330,Namibe,AO,-15.1961,12.1522,69.98,70,94,8.03,overcast clouds
331,Jerantut,MY,3.936,102.3626,72.19,98,100,1.68,overcast clouds
332,Stornoway,GB,58.2093,-6.3865,46.36,88,100,28.77,moderate rain
333,Monrovia,LR,6.3005,-10.7969,74.97,84,3,9.24,clear sky
334,El Alto,PE,-4.2714,-81.2147,71.26,78,98,14.32,overcast clouds
335,Tahe,CN,52.3333,124.7333,-9.54,100,97,1.25,overcast clouds
336,Keetmanshoop,NA,-26.5833,18.1333,76.01,19,0,9.78,clear sky
337,Yar-Sale,RU,66.8333,70.8333,-39.42,100,75,6.58,broken clouds
338,Oksfjord,NO,70.2396,22.3479,19.58,91,39,18.16,scattered clouds
339,Fayetteville,US,35.0527,-78.8784,50.22,72,0,0.0,clear sky
340,Meghri,AM,38.9029,46.2446,40.44,84,93,0.29,light rain
341,Isangel,VU,-19.55,169.2667,87.91,84,75,6.91,broken clouds
342,Rawson,AR,-43.3002,-65.1023,69.71,68,77,13.06,broken clouds
343,Semirara,PH,12.0697,121.3986,78.58,76,28,28.83,scattered clouds
344,Iracoubo,GF,5.4802,-53.2011,76.5,87,100,12.26,overcast clouds
345,Carnarvon,AU,-24.8667,113.6333,77.76,46,0,22.1,clear sky
346,Qaqortoq,GL,60.7167,-46.0333,13.08,68,85,9.28,overcast clouds
